family_name,task_type,outcome,metric,higher_is_better,handle0,handle1,n_eval_common,alignment_mode,metric0,metric1,delta_raw,delta_better,delta_ci_lo_raw,delta_ci_hi_raw,delta_ci_lo_better,delta_ci_hi_better,p_raw,p_adj
exp2_additional_binary,classification,crrt_initiation,roc_auc,True,discrete_none,discrete_rope,63669,hospitalization_id,0.9270588154867496,0.92953312283241,0.0024743073456604,0.0024743073456604,-0.0061703095784557,0.0118480906404378,-0.0061703095784557,0.0118480906404378,0.6146926536731634,0.6934994041440817
exp2_additional_binary,classification,crrt_initiation,pr_auc,True,discrete_none,discrete_rope,63669,hospitalization_id,0.1375896965381307,0.1152953991291674,-0.0222942974089632,-0.0222942974089632,-0.0483585619582496,0.0045153753999799,-0.0483585619582496,0.0045153753999799,0.0939530234882558,0.1797362188470982
exp2_additional_binary,classification,crrt_initiation,brier,False,discrete_none,discrete_rope,63669,hospitalization_id,0.0038739783360978,0.0039919393514047,0.0001179610153068,-0.0001179610153068,7.707416687468368e-06,0.0002276320860042,-0.0002276320860042,-7.707416687468368e-06,0.0384807596201899,0.0907046476761619
exp2_additional_binary,classification,crrt_initiation,ece_15,False,discrete_none,discrete_rope,63669,hospitalization_id,0.0013008206823437,0.0014328210003875,0.0001320003180437,-0.0001320003180437,-0.0002936984060862,0.0004637494171737,-0.0004637494171737,0.0002936984060862,0.4792603698150924,0.8938530734632684
exp2_additional_binary,classification,crrt_initiation,roc_auc,True,discrete_none,discrete_tt,63669,hospitalization_id,0.9270588154867496,0.9313715977749284,0.0043127822881787,0.0043127822881787,-0.0042966810222832,0.0129024138183607,-0.0042966810222832,0.0129024138183607,0.3493253373313343,0.4753705621416096
exp2_additional_binary,classification,crrt_initiation,pr_auc,True,discrete_none,discrete_tt,63669,hospitalization_id,0.1375896965381307,0.1625031859311075,0.0249134893929768,0.0249134893929768,-0.0038477139113491,0.0578821097081447,-0.0038477139113491,0.0578821097081447,0.0909545227386306,0.1765587794338124
exp2_additional_binary,classification,crrt_initiation,brier,False,discrete_none,discrete_tt,63669,hospitalization_id,0.0038739783360978,0.0038275548990525,-4.642343704536677e-05,4.642343704536677e-05,-0.0001587348631519,6.342840425463513e-05,-6.342840425463513e-05,0.0001587348631519,0.3998000999500249,0.6358266649807626
exp2_additional_binary,classification,crrt_initiation,ece_15,False,discrete_none,discrete_tt,63669,hospitalization_id,0.0013008206823437,0.0015220611426529,0.0002212404603092,-0.0002212404603092,-0.0002714338646971,0.000450677593455,-0.000450677593455,0.0002714338646971,0.153423288355822,0.6532862600957585
exp2_additional_binary,classification,crrt_initiation,roc_auc,True,discrete_none,soft_none,63669,hospitalization_id,0.9270588154867496,0.9291485530690082,0.0020897375822586,0.0020897375822586,-0.0067382961858372,0.0106837250070517,-0.0067382961858372,0.0106837250070517,0.6591704147926037,0.7373770741747772
exp2_additional_binary,classification,crrt_initiation,pr_auc,True,discrete_none,soft_none,63669,hospitalization_id,0.1375896965381307,0.132204555560055,-0.0053851409780756,-0.0053851409780756,-0.036360257534828,0.0222833177215029,-0.036360257534828,0.0222833177215029,0.7086456771614192,0.8245877061469266
exp2_additional_binary,classification,crrt_initiation,brier,False,discrete_none,soft_none,63669,hospitalization_id,0.0038739783360978,0.0039167513040853,4.27729679874614e-05,-4.27729679874614e-05,-7.433710579985797e-05,0.0001625025035956,-0.0001625025035956,7.433710579985797e-05,0.4847576211894053,0.677536231884058
exp2_additional_binary,classification,crrt_initiation,ece_15,False,discrete_none,soft_none,63669,hospitalization_id,0.0013008206823437,0.0013164369132515,1.5616230907868544e-05,-1.5616230907868544e-05,-0.0003571392878662,0.0003616364225588,-0.0003616364225588,0.0003571392878662,0.9055472263868066,0.9790104947526236
exp2_additional_binary,classification,crrt_initiation,roc_auc,True,discrete_none,soft_rope,63669,hospitalization_id,0.9270588154867496,0.9350451295285892,0.0079863140418396,0.0079863140418396,-0.0014758137999163,0.0179104346781516,-0.0014758137999163,0.0179104346781516,0.1154422788605697,0.1771904745301767
exp2_additional_binary,classification,crrt_initiation,pr_auc,True,discrete_none,soft_rope,63669,hospitalization_id,0.1375896965381307,0.1398134318239383,0.0022237352858076,0.0022237352858076,-0.0273261552404705,0.0324492723679809,-0.0273261552404705,0.0324492723679809,0.8845577211394303,0.916838455772114
exp2_additional_binary,classification,crrt_initiation,brier,False,discrete_none,soft_rope,63669,hospitalization_id,0.0038739783360978,0.0038967306715739,2.275233547610828e-05,-2.275233547610828e-05,-9.986504781853408e-05,0.0001434636879867,-0.0001434636879867,9.986504781853408e-05,0.719640179910045,0.8469494066526059
exp2_additional_binary,classification,crrt_initiation,ece_15,False,discrete_none,soft_rope,63669,hospitalization_id,0.0013008206823437,0.0013083792873196,7.558604975915241e-06,-7.558604975915241e-06,-0.0004202327585323,0.0002477952443404,-0.0002477952443404,0.0004202327585323,0.9410294852573712,0.9790104947526236
exp2_additional_binary,classification,crrt_initiation,roc_auc,True,discrete_none,soft_tt,63669,hospitalization_id,0.9270588154867496,0.9184673122897176,-0.008591503197032,-0.008591503197032,-0.0194003097659386,0.0018793677810555,-0.0194003097659386,0.0018793677810555,0.0909545227386306,0.1429285357321339
exp2_additional_binary,classification,crrt_initiation,pr_auc,True,discrete_none,soft_tt,63669,hospitalization_id,0.1375896965381307,0.1322092111695188,-0.0053804853686118,-0.0053804853686118,-0.0329573095059329,0.0232077614346571,-0.0329573095059329,0.0232077614346571,0.712143928035982,0.8245877061469266
exp2_additional_binary,classification,crrt_initiation,brier,False,discrete_none,soft_tt,63669,hospitalization_id,0.0038739783360978,0.0038952833386824,2.1305002584517344e-05,-2.1305002584517344e-05,-9.66309726601162e-05,0.0001418696233068,-0.0001418696233068,9.66309726601162e-05,0.7481259370314842,0.8469494066526059
exp2_additional_binary,classification,crrt_initiation,ece_15,False,discrete_none,soft_tt,63669,hospitalization_id,0.0013008206823437,0.0014850060631348,0.0001841853807911,-0.0001841853807911,-0.0002977226363156,0.0004062105724432,-0.0004062105724432,0.0002977226363156,0.2463768115942029,0.7215983844812289
exp2_additional_binary,classification,crrt_initiation,roc_auc,True,discrete_none,xval_affine_none,63669,hospitalization_id,0.9270588154867496,0.8324393620495547,-0.0946194534371949,-0.0946194534371949,-0.1142262778055991,-0.0759652625244384,-0.1142262778055991,-0.0759652625244384,0.0004997501249375,0.0010639841369637
exp2_additional_binary,classification,crrt_initiation,pr_auc,True,discrete_none,xval_affine_none,63669,hospitalization_id,0.1375896965381307,0.0513046997338576,-0.086284996804273,-0.086284996804273,-0.1218819653775239,-0.0569220584793584,-0.1218819653775239,-0.0569220584793584,0.0004997501249375,0.0015706432498036
exp2_additional_binary,classification,crrt_initiation,brier,False,discrete_none,xval_affine_none,63669,hospitalization_id,0.0038739783360978,0.0041152612623457,0.0002412829262478,-0.0002412829262478,9.67849918017988e-05,0.0003960605355295,-0.0003960605355295,-9.67849918017988e-05,0.0014992503748125,0.0053486770128449
exp2_additional_binary,classification,crrt_initiation,ece_15,False,discrete_none,xval_affine_none,63669,hospitalization_id,0.0013008206823437,0.0017384210672109,0.0004376003848672,-0.0004376003848672,-4.653257315426724e-05,0.0007210161707126,-0.0007210161707126,4.653257315426724e-05,0.0019990004997501,0.0879560219890055
exp2_additional_binary,classification,crrt_initiation,roc_auc,True,discrete_none,xval_affine_rope,63669,hospitalization_id,0.9270588154867496,0.8383447836736613,-0.0887140318130883,-0.0887140318130883,-0.1075527654417518,-0.0694269030378748,-0.1075527654417518,-0.0694269030378748,0.0004997501249375,0.0010639841369637
exp2_additional_binary,classification,crrt_initiation,pr_auc,True,discrete_none,xval_affine_rope,63669,hospitalization_id,0.1375896965381307,0.0454830539327885,-0.0921066426053421,-0.0921066426053421,-0.1293615751146967,-0.0631527399034264,-0.1293615751146967,-0.0631527399034264,0.0004997501249375,0.0015706432498036
exp2_additional_binary,classification,crrt_initiation,brier,False,discrete_none,xval_affine_rope,63669,hospitalization_id,0.0038739783360978,0.0041467130111807,0.0002727346750828,-0.0002727346750828,0.0001216794073582,0.0004382139024347,-0.0004382139024347,-0.0001216794073582,0.000999500249875,0.0039980009995002
exp2_additional_binary,classification,crrt_initiation,ece_15,False,discrete_none,xval_affine_rope,63669,hospitalization_id,0.0013008206823437,0.0015779177129605,0.0002770970306168,-0.0002770970306168,-0.0002220699980608,0.0005414530588468,-0.0005414530588468,0.0002220699980608,0.0689655172413793,0.5057471264367817
