experiment,backbone,condition,condition_title,task_type,metric,level_id,level_label,level_position,level_marker,level_fillstyle,is_baseline,outcome_family,outcome_color,point,lo,hi,n_outcomes,n_seeds,n_architectures,member_outcomes,outcome,outcome_label,outcome_linestyle,level_delta,is_best,is_worst
exp1,llama_qwen_mean,granularity,Quantization granularity,binary,roc_auc,deciles|none|unfused,Deciles · population (baseline),0.0,o,full,True,Organ support,#CC3311,0.957778420660865,0.9066378660410088,0.9865232292278446,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.0014034367556609029,False,False
exp1,llama_qwen_mean,granularity,Quantization granularity,binary,roc_auc,deciles|none|unfused,Deciles · population (baseline),0.0,o,full,True,Laboratory,#009988,0.7798535147522926,0.690094052455676,0.9478884737585314,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.012698192059219071,False,False
exp1,llama_qwen_mean,granularity,Quantization granularity,binary,roc_auc,deciles|none|unfused,Deciles · population (baseline),0.0,o,full,True,Vitals,#332288,0.6944670656635606,0.6483132493839501,0.7432673142079586,3,3,2,tachycardia_hr130|severe_hypertension|hypotension,Vitals,Vitals,solid,0.003378052653062902,False,False
exp1,llama_qwen_mean,granularity,Quantization granularity,binary,roc_auc,deciles|none|unfused,Deciles · population (baseline),0.0,o,full,True,Hospital outcomes,#0077BB,0.8841445993684023,0.8030572307125422,0.9582205416622374,4,3,2,same_admission_death|long_length_of_stay|icu_admission|prolonged_icu_stay,Hospital outcomes,Hospital outcomes,solid,0.0020460740505194863,False,False
exp1,llama_qwen_mean,granularity,Quantization granularity,regression,spearman_rho,deciles|none|unfused,Deciles · population (baseline),0.0,o,full,True,Vitals,#332288,0.4648224195758573,0.3772873337278385,0.5339706080444893,6,3,2,min_heart_rate|max_heart_rate|min_sbp|max_sbp|min_dbp|max_dbp,Vitals,Vitals,solid,0.0038514611174318425,False,False
exp1,llama_qwen_mean,granularity,Quantization granularity,regression,spearman_rho,deciles|none|unfused,Deciles · population (baseline),0.0,o,full,True,Biomarkers,#EE7733,0.4391172750121953,0.2821737904712131,0.5600707255018897,8,3,2,min_creatinine|peak_creatinine|min_troponin|peak_troponin|min_glucose|max_glucose|min_bnp|peak_bnp,Biomarkers,Biomarkers,solid,0.011132080542150646,True,False
exp1,llama_qwen_mean,granularity,Quantization granularity,regression,spearman_rho,deciles|none|unfused,Deciles · population (baseline),0.0,o,full,True,Hematology,#AA4499,0.7049084315143559,0.7023151530986973,0.7075017099300146,2,3,2,min_hemoglobin|max_hemoglobin,Hematology,Hematology,solid,0.012111795854423568,False,False
exp1,llama_qwen_mean,granularity,Quantization granularity,regression,spearman_rho,deciles|none|unfused,Deciles · population (baseline),0.0,o,full,True,Electrolytes,#009988,0.4497675962225761,0.42733314512347953,0.4717514559137648,4,3,2,min_potassium|peak_potassium|min_sodium|max_sodium,Electrolytes,Electrolytes,solid,0.010501284904927355,True,False
exp1,llama_qwen_mean,granularity,Quantization granularity,binary,roc_auc,ventiles|none|unfused,Ventiles · population,1.0,s,full,False,Organ support,#CC3311,0.9573712756436551,0.9055151135329411,0.9848791040723932,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.0014034367556609029,False,True
exp1,llama_qwen_mean,granularity,Quantization granularity,binary,roc_auc,ventiles|none|unfused,Ventiles · population,1.0,s,full,False,Laboratory,#009988,0.7739564998173317,0.6780457558363462,0.9465327626108104,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.012698192059219071,False,False
