experiment,config_id,config_label,backbone,seed,task_type,outcome,outcome_label,metric,point,n_test,test_cohort_rows,quantizer,anchoring,fusion,representation,temporal,effective_logreg_C,effective_ridge_alpha,source_artifact,source_sha256
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,icu_admission,ICU admission,brier,0.011794822301854621,71949,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,icu_admission,ICU admission,ece_15,0.0013940688136679516,71949,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,imv_event,Invasive mechanical ventilation,roc_auc,0.9562358482471114,83278,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,imv_event,Invasive mechanical ventilation,average_precision,0.5170737445876242,83278,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,imv_event,Invasive mechanical ventilation,brier,0.00892925894093228,83278,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,imv_event,Invasive mechanical ventilation,ece_15,0.0012150927634835581,83278,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,prolonged_icu_stay,ICU stay >48h,roc_auc,0.9554730867800981,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,prolonged_icu_stay,ICU stay >48h,average_precision,0.7769504920639476,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,prolonged_icu_stay,ICU stay >48h,brier,0.03682914841310658,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,prolonged_icu_stay,ICU stay >48h,ece_15,0.0031781516552112374,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
