experiment,backbone,condition,condition_title,task_type,metric,level_id,level_label,level_position,level_marker,level_fillstyle,is_baseline,outcome_family,outcome_color,point,lo,hi,n_outcomes,n_seeds,n_architectures,member_outcomes,outcome,outcome_label,outcome_linestyle,level_delta,is_best,is_worst
exp3,llama_qwen_mean,source,Data schema,binary,roc_auc,Native MIMIC,Native MIMIC (baseline),0.0,o,full,True,Organ support,#CC3311,0.9255014918918272,0.8713881889997538,0.9635620709626795,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.008874922890264925,True,False
exp3,llama_qwen_mean,source,Data schema,binary,roc_auc,Native MIMIC,Native MIMIC (baseline),0.0,o,full,True,Laboratory,#009988,0.7290063311968554,0.6273146005396306,0.8863531918449197,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.006303062248896096,False,True
exp3,llama_qwen_mean,source,Data schema,binary,roc_auc,Native MIMIC,Native MIMIC (baseline),0.0,o,full,True,Vitals,#332288,0.7111693415431124,0.6735086335659213,0.7467168037365894,3,3,2,tachycardia_hr130|severe_hypertension|hypotension,Vitals,Vitals,solid,0.031754843238185226,False,True
exp3,llama_qwen_mean,source,Data schema,binary,roc_auc,Native MIMIC,Native MIMIC (baseline),0.0,o,full,True,Hospital outcomes,#0077BB,0.8765488633728348,0.8442457155741606,0.9248365035806986,3,3,2,same_admission_death|long_length_of_stay|prolonged_icu_stay,Hospital outcomes,Hospital outcomes,solid,0.009597130651375574,False,True
exp3,llama_qwen_mean,source,Data schema,regression,spearman_rho,Native MIMIC,Native MIMIC (baseline),0.0,o,full,True,Vitals,#332288,0.4937163217801956,0.39529092190946136,0.5735990990036233,6,3,2,min_heart_rate|max_heart_rate|min_sbp|max_sbp|min_dbp|max_dbp,Vitals,Vitals,solid,0.09894937705309587,False,True
exp3,llama_qwen_mean,source,Data schema,regression,spearman_rho,Native MIMIC,Native MIMIC (baseline),0.0,o,full,True,Biomarkers,#EE7733,0.4172341684630689,0.21668370965834677,0.5775231524886635,8,3,2,min_creatinine|peak_creatinine|min_troponin|peak_troponin|min_glucose|max_glucose|min_bnp|peak_bnp,Biomarkers,Biomarkers,solid,0.0054872120252728585,False,True
exp3,llama_qwen_mean,source,Data schema,regression,spearman_rho,Native MIMIC,Native MIMIC (baseline),0.0,o,full,True,Hematology,#AA4499,0.6347742564200283,0.6322929458874142,0.6372555669526424,2,3,2,min_hemoglobin|max_hemoglobin,Hematology,Hematology,solid,0.028624393520117142,False,True
exp3,llama_qwen_mean,source,Data schema,regression,spearman_rho,Native MIMIC,Native MIMIC (baseline),0.0,o,full,True,Electrolytes,#009988,0.4247351742673911,0.387315949718798,0.46910463453119194,4,3,2,min_potassium|peak_potassium|min_sodium|max_sodium,Electrolytes,Electrolytes,solid,0.03484643987022684,True,False
exp3,llama_qwen_mean,source,Data schema,binary,roc_auc,CLIF harmonized,CLIF harmonized,1.0,s,full,False,Organ support,#CC3311,0.9166265690015623,0.8767754200212665,0.9619964560563036,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.008874922890264925,False,True
exp3,llama_qwen_mean,source,Data schema,binary,roc_auc,CLIF harmonized,CLIF harmonized,1.0,s,full,False,Laboratory,#009988,0.7353093934457515,0.6461103911464923,0.8861498718805704,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.006303062248896096,True,False
exp3,llama_qwen_mean,source,Data schema,binary,roc_auc,CLIF harmonized,CLIF harmonized,1.0,s,full,False,Vitals,#332288,0.7429241847812976,0.7078118209919565,0.76388303226571,3,3,2,tachycardia_hr130|severe_hypertension|hypotension,Vitals,Vitals,solid,0.031754843238185226,True,False
exp3,llama_qwen_mean,source,Data schema,binary,roc_auc,CLIF harmonized,CLIF harmonized,1.0,s,full,False,Hospital outcomes,#0077BB,0.8861459940242103,0.8496812504036513,0.9386806337367483,3,3,2,same_admission_death|long_length_of_stay|prolonged_icu_stay,Hospital outcomes,Hospital outcomes,solid,0.009597130651375574,True,False
exp3,llama_qwen_mean,source,Data schema,regression,spearman_rho,CLIF harmonized,CLIF harmonized,1.0,s,full,False,Vitals,#332288,0.5926656988332915,0.4816882476257057,0.6305699715726167,6,3,2,min_heart_rate|max_heart_rate|min_sbp|max_sbp|min_dbp|max_dbp,Vitals,Vitals,solid,0.09894937705309587,True,False
exp3,llama_qwen_mean,source,Data schema,regression,spearman_rho,CLIF harmonized,CLIF harmonized,1.0,s,full,False,Biomarkers,#EE7733,0.42272138048834174,0.22644131045987204,0.5654003283593239,8,3,2,min_creatinine|peak_creatinine|min_troponin|peak_troponin|min_glucose|max_glucose|min_bnp|peak_bnp,Biomarkers,Biomarkers,solid,0.0054872120252728585,True,False
exp3,llama_qwen_mean,source,Data schema,regression,spearman_rho,CLIF harmonized,CLIF harmonized,1.0,s,full,False,Hematology,#AA4499,0.6633986499401454,0.6620588407825486,0.6647384590977421,2,3,2,min_hemoglobin|max_hemoglobin,Hematology,Hematology,solid,0.028624393520117142,True,False
exp3,llama_qwen_mean,source,Data schema,regression,spearman_rho,CLIF harmonized,CLIF harmonized,1.0,s,full,False,Electrolytes,#009988,0.38988873439716426,0.35923600084862234,0.4312765194854023,4,3,2,min_potassium|peak_potassium|min_sodium|max_sodium,Electrolytes,Electrolytes,solid,0.03484643987022684,False,True
