measurement,measurement_code,panel,bin_id,pc1,pc2,pc1_var_explained,pc2_var_explained,model_dir,vocab_path
Shared centile vocabulary,shared_Q_tokens,shared_centiles,10,0.22963591,-0.33804047,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,11,0.12216096,-0.2948215,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,12,0.17728534,-0.36712062,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,13,0.21843868,-0.37834984,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,14,0.29615942,-0.39096335,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,15,0.323692,-0.46101207,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,16,0.3379196,-0.38941282,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,17,0.35671052,-0.36154974,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,18,0.37948895,-0.284209,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,19,0.4237852,-0.22000544,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
