experiment,backbone,condition,condition_title,task_type,metric,level_id,level_label,level_position,level_marker,level_fillstyle,is_baseline,outcome_family,outcome_color,point,lo,hi,n_outcomes,n_seeds,n_architectures,member_outcomes,outcome,outcome_label,outcome_linestyle,level_delta,is_best,is_worst
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,soft|time_tokens,Soft discretization,1.0,s,full,False,Electrolytes,#009988,0.46013211033217455,0.43650274437537845,0.481914386566336,4,3,2,min_potassium|peak_potassium|min_sodium|max_sodium,Electrolytes,Electrolytes,solid,0.12505000836767394,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,xval|time_tokens,xVal,2.0,^,full,False,Organ support,#CC3311,0.9019005926048939,0.8407852296102387,0.9325281979222415,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.057382898542851724,False,True
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,xval|time_tokens,xVal,2.0,^,full,False,Laboratory,#009988,0.7291670079580803,0.6501888503733522,0.9137192819879186,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.056139461382927025,False,True
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,xval|time_tokens,xVal,2.0,^,full,False,Vitals,#332288,0.6473498726178233,0.6012792445259456,0.690573185727652,3,3,2,tachycardia_hr130|severe_hypertension|hypotension,Vitals,Vitals,solid,0.05377923333575885,False,True
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,xval|time_tokens,xVal,2.0,^,full,False,Hospital outcomes,#0077BB,0.8394959009746977,0.7493797083871431,0.9218795754664002,4,3,2,same_admission_death|long_length_of_stay|icu_admission|prolonged_icu_stay,Hospital outcomes,Hospital outcomes,solid,0.051547338782229724,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,xval|time_tokens,xVal,2.0,^,full,False,Vitals,#332288,0.37883358068424516,0.3008347171806137,0.4592235443122512,6,3,2,min_heart_rate|max_heart_rate|min_sbp|max_sbp|min_dbp|max_dbp,Vitals,Vitals,solid,0.09610942978749082,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,xval|time_tokens,xVal,2.0,^,full,False,Biomarkers,#EE7733,0.3765539396100519,0.2550429193685698,0.48013990249127,8,3,2,min_creatinine|peak_creatinine|min_troponin|peak_troponin|min_glucose|max_glucose|min_bnp|peak_bnp,Biomarkers,Biomarkers,solid,0.07780524034997299,False,True
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,xval|time_tokens,xVal,2.0,^,full,False,Hematology,#AA4499,0.5682658701954244,0.5664498578776667,0.5700818825131821,2,3,2,min_hemoglobin|max_hemoglobin,Hematology,Hematology,solid,0.16224587568412385,False,True
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,xval|time_tokens,xVal,2.0,^,full,False,Electrolytes,#009988,0.3463749760721691,0.3278278844405121,0.36300537458524496,4,3,2,min_potassium|peak_potassium|min_sodium|max_sodium,Electrolytes,Electrolytes,solid,0.12505000836767394,False,True
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,xval_affine|time_tokens,xVal-affine,3.0,D,full,False,Organ support,#CC3311,0.9019653243270995,0.8448213376029954,0.9311670171907462,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.057382898542851724,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,xval_affine|time_tokens,xVal-affine,3.0,D,full,False,Laboratory,#009988,0.7341565048150018,0.6538701902170536,0.9159349643893802,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.056139461382927025,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,xval_affine|time_tokens,xVal-affine,3.0,D,full,False,Vitals,#332288,0.6478688763592858,0.6086810008172283,0.6906690576234256,3,3,2,tachycardia_hr130|severe_hypertension|hypotension,Vitals,Vitals,solid,0.05377923333575885,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,xval_affine|time_tokens,xVal-affine,3.0,D,full,False,Hospital outcomes,#0077BB,0.8381982126495393,0.7504416788012171,0.9182617959290675,4,3,2,same_admission_death|long_length_of_stay|icu_admission|prolonged_icu_stay,Hospital outcomes,Hospital outcomes,solid,0.051547338782229724,False,True
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,xval_affine|time_tokens,xVal-affine,3.0,D,full,False,Vitals,#332288,0.37678596480603616,0.2984920087590864,0.4462332445345716,6,3,2,min_heart_rate|max_heart_rate|min_sbp|max_sbp|min_dbp|max_dbp,Vitals,Vitals,solid,0.09610942978749082,False,True
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,xval_affine|time_tokens,xVal-affine,3.0,D,full,False,Biomarkers,#EE7733,0.37817297628683294,0.24058759395766968,0.4885574134297683,8,3,2,min_creatinine|peak_creatinine|min_troponin|peak_troponin|min_glucose|max_glucose|min_bnp|peak_bnp,Biomarkers,Biomarkers,solid,0.07780524034997299,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,xval_affine|time_tokens,xVal-affine,3.0,D,full,False,Hematology,#AA4499,0.5736959300378733,0.5717172452272452,0.5756746148485015,2,3,2,min_hemoglobin|max_hemoglobin,Hematology,Hematology,solid,0.16224587568412385,False,False
