experiment,config_id,backbone,seed,data_version,task_type,outcome,test_cohort_rows,n_labeled,n_unlabeled,n_positive,source_artifact
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,binary,severe_hypertension,85057,10580,0,783.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,binary,vasopressor_initiation,85057,82207,0,592.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,binary,hypotension,85057,5003,0,1863.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,binary,crrt_initiation,85057,84947,0,56.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,binary,hemodialysis_initiation,85057,84866,0,118.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,min_creatinine,85057,60076,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,peak_creatinine,85057,60076,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,min_troponin,85057,2628,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,peak_troponin,85057,2628,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,min_hemoglobin,85057,59675,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,max_hemoglobin,85057,59675,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,min_potassium,85057,59808,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,peak_potassium,85057,59808,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,min_glucose,85057,58898,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,max_glucose,85057,58898,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,min_sodium,85057,59570,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
