family_name,task_type,outcome,metric,higher_is_better,handle0,handle1,n_eval_common,alignment_mode,metric0,metric1,delta_raw,delta_better,delta_ci_lo_raw,delta_ci_hi_raw,delta_ci_lo_better,delta_ci_hi_better,p_raw,p_adj
exp2_length_of_stay,regression,length_of_stay,spearman_rho,True,discrete_none,discrete_rope,63750,hospitalization_id,0.5423806783481756,0.5425923433464859,0.00021166499831026808,0.00021166499831026808,-0.0032169920878478754,0.003754096290093984,-0.0032169920878478754,0.003754096290093984,0.9035482258870565,0.9035482258870565
exp2_length_of_stay,regression,length_of_stay,r2,True,discrete_none,discrete_rope,63750,hospitalization_id,0.17281442035530603,0.1730942300651196,0.000279809709813561,0.000279809709813561,-0.002889137897458241,0.003547108247879056,-0.002889137897458241,0.003547108247879056,0.8660669665167416,0.8660669665167418
exp2_length_of_stay,regression,length_of_stay,mae,False,discrete_none,discrete_rope,63750,hospitalization_id,85.28718880038886,85.41296101914813,0.12577221875926625,-0.12577221875926625,-0.13445712301124502,0.37530250015713285,-0.37530250015713285,0.13445712301124502,0.31984007996002,0.31984007996002
exp2_length_of_stay,regression,length_of_stay,rmse,False,discrete_none,discrete_rope,63750,hospitalization_id,161.2069979640179,161.17973014186666,-0.027267822151230803,0.027267822151230803,-0.34107908389041197,0.28422166583402625,-0.28422166583402625,0.34107908389041197,0.8660669665167416,0.8660669665167418
exp2_length_of_stay,regression,length_of_stay,spearman_rho,True,discrete_none,discrete_tt,63750,hospitalization_id,0.5423806783481756,0.5376714168054437,-0.00470926154273188,-0.00470926154273188,-0.008224219869866775,-0.0011257328173776935,-0.008224219869866775,-0.0011257328173776935,0.011494252873563218,0.014048531289910602
exp2_length_of_stay,regression,length_of_stay,r2,True,discrete_none,discrete_tt,63750,hospitalization_id,0.17281442035530603,0.17082607916969927,-0.0019883411856067568,-0.0019883411856067568,-0.005449526584354253,0.0013958600370993944,-0.005449526584354253,0.0013958600370993944,0.22988505747126436,0.25287356321839083
exp2_length_of_stay,regression,length_of_stay,mae,False,discrete_none,discrete_tt,63750,hospitalization_id,85.28718880038886,85.78535397003328,0.49816516964442314,-0.49816516964442314,0.2372594987609819,0.7747085304791524,-0.7747085304791524,-0.2372594987609819,0.0009995002498750624,0.0010994502748625688
exp2_length_of_stay,regression,length_of_stay,rmse,False,discrete_none,discrete_tt,63750,hospitalization_id,161.2069979640179,161.4006317336867,0.1936337696688213,-0.1936337696688213,-0.1378612142618799,0.5315257221791887,-0.5315257221791887,0.1378612142618799,0.22988505747126436,0.25287356321839083
exp2_length_of_stay,regression,length_of_stay,spearman_rho,True,discrete_none,soft_none,63750,hospitalization_id,0.5423806783481756,0.5337020871751629,-0.008678591173012729,-0.008678591173012729,-0.012149098163686315,-0.005203021153782584,-0.012149098163686315,-0.005203021153782584,0.0004997501249375312,0.0006871564217891055
exp2_length_of_stay,regression,length_of_stay,r2,True,discrete_none,soft_none,63750,hospitalization_id,0.17281442035530603,0.16742859397913457,-0.005385826376171465,-0.005385826376171465,-0.00854684017167251,-0.0020461902951148642,-0.00854684017167251,-0.0020461902951148642,0.0024987506246876563,0.0034357821089455276
exp2_length_of_stay,regression,length_of_stay,mae,False,discrete_none,soft_none,63750,hospitalization_id,85.28718880038886,85.86614596566648,0.5789571652776146,-0.5789571652776146,0.31967160756771057,0.8316585057126691,-0.8316585057126691,-0.31967160756771057,0.0004997501249375312,0.0006871564217891055
exp2_length_of_stay,regression,length_of_stay,rmse,False,discrete_none,soft_none,63750,hospitalization_id,161.2069979640179,161.7309579033838,0.5239599393659091,-0.5239599393659091,0.1996841086177227,0.8337917903564852,-0.8337917903564852,-0.1996841086177227,0.0024987506246876563,0.0034357821089455276
exp2_length_of_stay,regression,length_of_stay,spearman_rho,True,discrete_none,soft_rope,63750,hospitalization_id,0.5423806783481756,0.53498354023569,-0.007397138112485657,-0.007397138112485657,-0.011017706486772513,-0.003825201317201913,-0.011017706486772513,-0.003825201317201913,0.0004997501249375312,0.0006871564217891055
exp2_length_of_stay,regression,length_of_stay,r2,True,discrete_none,soft_rope,63750,hospitalization_id,0.17281442035530603,0.16692228927221187,-0.005892131083094165,-0.005892131083094165,-0.009162562334890784,-0.002707395169657104,-0.009162562334890784,-0.002707395169657104,0.0004997501249375312,0.0007853216249018348
exp2_length_of_stay,regression,length_of_stay,mae,False,discrete_none,soft_rope,63750,hospitalization_id,85.28718880038886,85.7187411654204,0.4315523650315356,-0.4315523650315356,0.1820336219273276,0.6933230945186049,-0.6933230945186049,-0.1820336219273276,0.0009995002498750624,0.0010994502748625688
exp2_length_of_stay,regression,length_of_stay,rmse,False,discrete_none,soft_rope,63750,hospitalization_id,161.2069979640179,161.7801264788361,0.5731285148182224,-0.5731285148182224,0.26032407715341466,0.8908315423146851,-0.8908315423146851,-0.26032407715341466,0.0004997501249375312,0.0007853216249018348
