family_name,task_type,outcome,metric,higher_is_better,handle0,handle1,n_eval_common,alignment_mode,metric0,metric1,delta_raw,delta_better,delta_ci_lo_raw,delta_ci_hi_raw,delta_ci_lo_better,delta_ci_hi_better,p_raw,p_adj
qwen3_length_of_stay,regression,length_of_stay,spearman_rho,True,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,0.1565932630715287,0.4839861880151779,0.3273929249436492,0.3273929249436492,0.3188495547804323,0.33579806880790253,0.3188495547804323,0.33579806880790253,,
qwen3_length_of_stay,regression,length_of_stay,r2,True,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,0.009895575895179531,0.13899682020908188,0.12910124431390235,0.12910124431390235,0.12228080400646217,0.13605932730866016,0.12228080400646217,0.13605932730866016,,
qwen3_length_of_stay,regression,length_of_stay,mae,False,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,93.5468270920431,88.0804044436293,-5.466422648413797,5.466422648413797,-5.925563774536579,-5.0151688765755,5.0151688765755,5.925563774536579,,
qwen3_length_of_stay,regression,length_of_stay,rmse,False,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,176.36926851221924,164.4692798545516,-11.899988657667649,11.899988657667649,-12.567043601053548,-11.231409317454018,11.231409317454018,12.567043601053548,,
